CET Number,Physics,Chemistry,Math,Total
231031001,33,-,-,-
231031002,16,-,-,-
231031004,29,-,-,-
231031005,19,-,-,-
231031006,22,-,-,-
231031007,51,-,-,-
231031008,23,-,-,-
231031009,27,-,-,-
231031010,36,-,-,-
231031011,44,-,-,-
231031012,28,-,-,-
231031013,24,-,-,-
231031014,52,-,-,-
231031015,35,-,-,-
231031016,26,-,-,-
231031017,23,-,-,-
231031018,40,-,-,-
231031019,14,-,-,-
231031020,22,-,-,-
231031021,29,-,-,-
231031022,23,-,-,-
231031023,22,-,-,-
231031024,13,-,-,-
231031025,47,-,-,-
231031026,28,-,-,-
231031027,22,-,-,-
231031028,27,-,-,-
231031029,51,-,-,-
231031030,31,-,-,-
231031031,27,-,-,-
231031032,15,-,-,-
231031033,27,-,-,-
231031035,49,-,-,-
231031036,28,-,-,-
231031037,22,-,-,-
231031038,19,-,-,-
231031039,39,-,-,-
231031040,35,-,-,-
231031041,47,-,-,-
231031042,26,-,-,-
231031043,22,-,-,-
231031044,46,-,-,-
231031046,31,-,-,-
231031047,22,-,-,-
231031048,16,-,-,-
231031049,19,-,-,-
231031050,18,-,-,-
231031051,22,-,-,-
231031052,26,-,-,-
231031053,23,-,-,-
231031054,17,-,-,-
231031055,20,-,-,-
231031056,28,-,-,-
231031057,12,-,-,-
231031058,35,-,-,-
231031060,53,-,-,-
231031061,27,-,-,-
231031062,56,-,-,-
231031063,54,-,-,-
231031064,42,-,-,-
231031065,40,-,-,-
231031066,42,-,-,-
231031067,24,-,-,-
231031068,21,-,-,-
231031069,32,-,-,-
231031070,33,-,-,-
231031071,22,-,-,-
231031072,52,-,-,-
231031073,25,-,-,-
231031074,33,-,-,-
231031075,15,-,-,-
231031076,35,-,-,-
231031077,27,-,-,-
231031078,26,-,-,-
231031079,20,-,-,-
231031080,37,-,-,-
231031081,17,-,-,-
231031082,46,-,-,-
231031083,18,-,-,-
231031084,34,-,-,-
231031085,27,-,-,-
231031086,48,-,-,-
231031087,49,-,-,-
231031088,30,-,-,-
231031089,24,-,-,-
231031091,34,-,-,-
231031093,26,-,-,-
231031094,14,-,-,-
231031096,23,-,-,-
231031097,24,-,-,-
231031098,35,-,-,-
231031099,31,-,-,-
231031100,19,-,-,-
231031102,20,-,-,-
231031103,46,-,-,-
231031104,19,-,-,-
231031105,46,-,-,-
231031106,30,-,-,-
231031108,23,-,-,-
231031111,17,-,-,-
231031112,12,-,-,-
231031113,18,-,-,-
231031114,47,-,-,-
231031115,19,-,-,-
231031116,29,-,-,-
231031117,20,-,-,-
231031119,35,-,-,-
231031120,38,-,-,-
231031121,45,-,-,-
231031122,37,-,-,-
231031123,28,-,-,-
231031124,27,-,-,-
231031125,43,-,-,-
231031126,47,-,-,-
231031127,35,-,-,-
231031128,19,-,-,-
231031130,24,-,-,-
231031131,41,-,-,-
231031132,30,-,-,-
231031133,20,-,-,-
231031134,31,-,-,-
231031135,23,-,-,-
231031136,19,-,-,-
231031137,48,-,-,-
231031138,21,-,-,-
231031139,40,-,-,-
231031140,19,-,-,-
231031141,32,-,-,-
231031142,27,-,-,-
231031143,38,-,-,-
231031145,58,-,-,-
231031146,20,-,-,-
231031147,52,-,-,-
231031148,45,-,-,-
231031149,33,-,-,-
231031150,42,-,-,-
231031151,41,-,-,-
231031152,29,-,-,-
231031153,27,-,-,-
231031154,35,-,-,-
231031155,41,-,-,-
231031156,19,-,-,-
231031157,31,-,-,-
231031158,33,-,-,-
231031159,47,-,-,-
231031160,44,-,-,-
231031162,33,-,-,-
231031163,25,-,-,-
231031165,22,-,-,-
231031166,43,-,-,-
231031167,23,-,-,-
231031168,26,-,-,-
231031169,27,-,-,-
231031170,20,-,-,-
231031171,28,-,-,-
231031172,50,-,-,-
231031174,32,-,-,-
231031175,34,-,-,-
231031176,17,-,-,-
231031177,19,-,-,-
231031178,25,-,-,-
231031179,13,-,-,-
231031180,20,-,-,-
231031181,52,-,-,-
231031182,46,-,-,-
231031183,19,-,-,-
231031184,41,-,-,-
231031185,28,-,-,-
231031186,39,-,-,-
231031187,53,-,-,-
231031189,15,-,-,-
231031190,18,-,-,-
231031191,41,-,-,-
231031192,38,-,-,-
231031193,55,-,-,-
231031194,41,-,-,-
231031195,20,-,-,-
231031196,52,-,-,-
231031197,21,-,-,-
231031198,35,-,-,-
231031200,20,-,-,-
231031201,22,-,-,-
231031202,19,-,-,-
231031204,48,-,-,-
231031205,49,-,-,-
231031206,35,-,-,-
231031207,42,-,-,-
